id,topic_code,equivalent_no,domain,prompt,option_a,option_b,option_c,option_d,difficulty,base_points
53c9bfe9-264a-58d7-a01b-c0caa625213c,ALG01,1,Algebra,Solve for x: 3x -15 = -6.,3,2,4,-3,2,1
27b8446a-0fc0-5ba3-81b2-c373463cf484,ALG01,2,Algebra,Solve for x: 3x -6 = 42.,17,-16,15,16,2,1
4e6c7672-df24-57ac-b6e0-a97694b2fcd4,ALG01,3,Algebra,Solve for x: 3x -14 = -2.,-4,5,4,3,2,1
a1a2a4e3-5560-56ed-a094-08c07cc47140,ALG01,4,Algebra,Solve for x: 5x -7 = -2.,1,-1,0,2,2,1
583c7598-0da7-5416-9ec8-3ae13905ce46,ALG01,5,Algebra,Solve for x: 8x +13 = -11.,-4,-2,3,-3,2,1
e7d23e13-3862-50b3-9031-652bd125f629,ALG01,6,Algebra,Solve for x: 5x +18 = -27.,-8,-9,9,-10,2,1
aeba9462-a354-576a-9bad-d33228f9335c,ALG01,7,Algebra,Solve for x: 8x -20 = -4.,-2,1,3,2,2,1
dfde013c-6818-5f8c-b641-290f44f74357,ALG01,8,Algebra,Solve for x: 5x +13 = 63.,10,-10,9,11,2,1
c6b7aa33-b4d6-553d-b795-4b5ca8b1f8bc,ALG01,9,Algebra,Solve for x: 8x +0 = 144.,18,17,-18,19,2,1
bd44b654-9e5b-56af-a91c-08c3297dd15c,ALG01,10,Algebra,Solve for x: 5x +0 = 35.,-7,8,7,6,2,1
36f274e6-b367-507c-b9df-cc0c7cf315b4,ALG01,11,Algebra,Solve for x: 6x -11 = 67.,14,13,-13,12,2,1
65088806-be05-5d3a-96c2-2ef0d2b55b2f,ALG01,12,Algebra,Solve for x: 8x -11 = 21.,3,-4,5,4,2,1
79f75f9e-3fe5-55a8-8d5b-cba00b8bc999,ALG01,13,Algebra,Solve for x: 8x -18 = 62.,-10,10,11,9,2,1
1a113092-35c3-58e9-86f4-d0afda811d24,ALG01,14,Algebra,Solve for x: 4x +1 = -31.,-8,-7,-9,8,2,1
