model_uuid,question_uuid,subject_uuid,accepted_text,normalized_text,model_type,is_primary
8e9158e4-adc7-50ce-8e78-3b337fd5d5ad,546a8876-9043-5840-b5ef-5cabe20ef1a1,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a student.,i am a student,filled_text,true
c46811c4-4617-5eaf-8d6d-0a34e46d9183,8c9a1937-cec1-50d2-abe8-a1126f15bb7b,ac4e17de-6058-5a75-8043-59fe7629f8fb,Anna is happy.,anna is happy,filled_text,true
2cfc7550-5a1e-5f17-b840-39384d0f79c1,455e3880-5a27-5c74-952f-2a2add270839,ac4e17de-6058-5a75-8043-59fe7629f8fb,Ali and Emma are at school.,ali and emma are at school,filled_text,true
1d4054b2-838e-5ae4-be85-cbf9e666dfba,8011e016-5d72-5463-8c7e-efadfae1db04,ac4e17de-6058-5a75-8043-59fe7629f8fb,The book is new.,the book is new,filled_text,true
f5121cbb-87b7-50ef-92cc-cf82a23cdd31,e31fd7e9-b788-5837-9669-cf9fd9564a23,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are cold today.,we are cold today,filled_text,true
90ceae8c-50c0-5d7d-adcf-6306a52a3222,c7e9c303-fe98-5963-a65a-f67ca4107473,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a teacher.,i am a teacher,filled_text,true
39054b8c-0746-5939-bd17-6547d919bda8,7023ee1f-a493-5d7d-bf6a-d238626c2470,ac4e17de-6058-5a75-8043-59fe7629f8fb,Sara is busy.,sara is busy,filled_text,true
c9930b30-e288-5f12-86a1-dbd77e43dff0,41194df4-7e82-554e-ac98-9ea93237e49f,ac4e17de-6058-5a75-8043-59fe7629f8fb,Tom and Lucy are at the office.,tom and lucy are at the office,filled_text,true
82e01905-d3f6-5e55-9eac-096e258de527,44dcb3ec-3e00-5073-96ce-cc57f86d4579,ac4e17de-6058-5a75-8043-59fe7629f8fb,The phone is old.,the phone is old,filled_text,true
fbbd7628-fcce-537c-9f0e-8ab05f7ad2bd,51147dd0-f38f-594c-b239-f2fffe36b204,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are warm now.,we are warm now,filled_text,true
1a08485c-7339-518a-b3b4-508bcc136fb1,ebd09a7f-05f2-5a22-91eb-c597107c3bc4,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a doctor.,i am a doctor,filled_text,true
e9382803-0c9e-5413-8bee-efee0db17c97,c3192a4d-178a-5e43-a4ad-d73cd9e13be0,ac4e17de-6058-5a75-8043-59fe7629f8fb,Mary is tired.,mary is tired,filled_text,true
5ae8c4eb-eda8-5b16-8600-808ac667e778,ca3118b4-e3ab-52d0-a076-72a1a4fd5a92,ac4e17de-6058-5a75-8043-59fe7629f8fb,John and Kate are at the library.,john and kate are at the library,filled_text,true
4e0db880-d513-53df-9e99-db27482502fd,fbb011a7-cc7d-5c93-87c0-1d3b9a7fbf2a,ac4e17de-6058-5a75-8043-59fe7629f8fb,The bag is clean.,the bag is clean,filled_text,true
e27bf761-0d1b-5384-ba70-7435b8edbd03,0fb50f81-2c0a-50f3-8d29-c95bbbca9685,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are late this morning.,we are late this morning,filled_text,true
f214e250-d116-507e-a6e7-e36b53fab6f3,3bd1b656-a0cc-55af-b143-a6e2089cd72e,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am an engineer.,i am an engineer,filled_text,true
831b3d83-49d0-5c21-8ce2-9cd6976d0cf2,d66de240-78b6-543d-96ea-67746225502d,ac4e17de-6058-5a75-8043-59fe7629f8fb,Emma is ready.,emma is ready,filled_text,true
9440b84b-b9c7-5c31-99f1-f3092192627d,a11eae17-5781-5d48-9bf6-1d5d2b26db19,ac4e17de-6058-5a75-8043-59fe7629f8fb,David and Sofia are at the park.,david and sofia are at the park,filled_text,true
2e2963e5-6c7e-5ff2-a179-4e986de2bf43,372dc19b-29a5-5e90-8c6d-302e33d5bd1d,ac4e17de-6058-5a75-8043-59fe7629f8fb,The key is open.,the key is open,filled_text,true
438219d4-78f3-5a58-bab1-e1382bb218bd,6c54cb96-fbbc-5f60-9a3e-8e36c6798b18,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are early this afternoon.,we are early this afternoon,filled_text,true
26719516-6191-5021-b610-629c0560e7cb,1bc61141-7222-5c04-a0ea-dcf0d9529c5a,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a designer.,i am a designer,filled_text,true
c475df14-533d-5b2a-96b5-007633dae8bf,70605879-b9fb-5635-879c-ad2dcbc841fb,ac4e17de-6058-5a75-8043-59fe7629f8fb,Lucy is hungry.,lucy is hungry,filled_text,true
a6d06418-6757-50fa-9485-5f976c79200a,d24e60a7-f9a7-57ce-ad5c-d11d208c2799,ac4e17de-6058-5a75-8043-59fe7629f8fb,Michael and Lina are at the station.,michael and lina are at the station,filled_text,true
3d66d499-646d-5ae4-8953-faf5dc54f4b3,52437b75-2dfb-5ab4-96ed-8d75f8ae87d6,ac4e17de-6058-5a75-8043-59fe7629f8fb,The pen is closed.,the pen is closed,filled_text,true
7d2ecd22-a42e-5eac-b6a0-9ae9aae3deb5,008db2f1-2704-5b06-b3f3-3797468049ff,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are quiet this evening.,we are quiet this evening,filled_text,true
6c0e5722-9557-565b-830f-4aad5d43e743,201f919c-6724-5773-bc54-bde7eedc5074,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a driver.,i am a driver,filled_text,true
79ef3faa-4f92-5942-bdd6-d14e1f1d2d4b,ae55a033-96fc-55bb-9446-5cf62e15b3e8,ac4e17de-6058-5a75-8043-59fe7629f8fb,Kate is cold.,kate is cold,filled_text,true
28ac1535-86df-5532-bf79-88f457e6d6b8,4668fc9c-e62a-53d2-8553-70537f738c2b,ac4e17de-6058-5a75-8043-59fe7629f8fb,Peter and Mia are at the café.,peter and mia are at the café,filled_text,true
8800f71f-20c3-5a26-99d9-8549f5879aff,4deaaa95-ef26-5f43-842b-fd5ee9564589,ac4e17de-6058-5a75-8043-59fe7629f8fb,The laptop is ready.,the laptop is ready,filled_text,true
bb7d8ca4-4ae3-5b35-aeab-c7005a6707f3,f8557b97-678f-5952-9781-42149f87cea8,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are friendly at the moment.,we are friendly at the moment,filled_text,true
b33f9d23-26a1-57ea-bc4b-8cb4d686a360,f5d33606-fc7e-5c45-b2ab-a4bed32ae342,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a manager.,i am a manager,filled_text,true
51f09f7b-66f2-5748-8f0f-d42d0b4f8e92,13831e82-cf91-5b19-818e-aefc827ed8e7,ac4e17de-6058-5a75-8043-59fe7629f8fb,Sofia is warm.,sofia is warm,filled_text,true
95936be6-0099-562a-8195-0454758ed8c2,01c22f3c-ee30-5f68-a1ca-26afe7e68404,ac4e17de-6058-5a75-8043-59fe7629f8fb,Daniel and Nora are at the hospital.,daniel and nora are at the hospital,filled_text,true
38f86d36-7dc0-58d4-9f36-4bc4f2806159,7585942e-5761-560c-88a3-d007c4c57c6d,ac4e17de-6058-5a75-8043-59fe7629f8fb,The ticket is heavy.,the ticket is heavy,filled_text,true
8e9b32b8-0805-5c88-b2c5-044694cfa5c0,a683645f-40fa-5794-8e72-2eb53d055224,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are careful before class.,we are careful before class,filled_text,true
e722513a-6cc2-5f39-ac8d-2ad48e4f2ae5,7210752b-cf61-5ab7-bab5-7b94b6632d0f,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a chef.,i am a chef,filled_text,true
05d1433d-93d5-5c80-869e-1c1e15ba44d3,17d37f52-b1ff-590d-b714-c5570753b89b,ac4e17de-6058-5a75-8043-59fe7629f8fb,Lina is late.,lina is late,filled_text,true
85e238ea-0052-5d8e-ba3f-2ad415cd4654,5e28bc11-f694-5fe6-ad1a-0a4c530bc89c,ac4e17de-6058-5a75-8043-59fe7629f8fb,Sam and Aziza are at the market.,sam and aziza are at the market,filled_text,true
8ff40dc5-6f12-5615-beb0-a10409a30a31,080d649c-c147-558b-9240-2a472f79e2c5,ac4e17de-6058-5a75-8043-59fe7629f8fb,The passport is light.,the passport is light,filled_text,true
3ba7a1d1-b999-5336-a278-ee85d50ab21f,d113b185-a30b-5091-ab71-7c7e9e83d877,ac4e17de-6058-5a75-8043-59fe7629f8fb,We are young after work.,we are young after work,filled_text,true
91efe9e3-e1be-5ecb-9650-31eb3b203f0a,2dbb26d7-8c14-5cfe-9d7d-7925e57bfe8e,ac4e17de-6058-5a75-8043-59fe7629f8fb,I am a nurse.,i am a nurse,filled_text,true
6502d0ed-8fd8-5994-904f-090594dddc4d,5f615612-791f-50d5-80a0-e57ad1a7c888,ac4e17de-6058-5a75-8043-59fe7629f8fb,Mia is early.,mia is early,filled_text,true
35103843-8b4f-5f6b-ac73-3a6225681df8,f76c48a9-0884-52a5-b70f-cdf1f0e9b705,ac4e17de-6058-5a75-8043-59fe7629f8fb,James and Dilnoza are at the gym.,james and dilnoza are at the gym,filled_text,true
