english,synonym,source
a,amp,Open English WordNet 2025 synset
a,ampere,Open English WordNet 2025 synset
a la mode,in style,Open English WordNet 2025 synset
a la mode,in vogue,Open English WordNet 2025 synset
a la mode,latest,Open English WordNet 2025 synset
a la mode,modish,Open English WordNet 2025 synset
a-bomb,atom bomb,Open English WordNet 2025 synset
a-bomb,atomic bomb,Open English WordNet 2025 synset
a-bomb,fission bomb,Open English WordNet 2025 synset
a-bomb,plutonium bomb,Open English WordNet 2025 synset
a-one,ace,Open English WordNet 2025 synset
a-one,crack,Open English WordNet 2025 synset
a-one,first-rate,Open English WordNet 2025 synset
a-one,super,Open English WordNet 2025 synset
a-one,tiptop,Open English WordNet 2025 synset
a-one,top-notch,Open English WordNet 2025 synset
a-one,topnotch,Open English WordNet 2025 synset
a-one,tops,Open English WordNet 2025 synset
ab initio,at first,Open English WordNet 2025 synset
ab initio,initially,Open English WordNet 2025 synset
abaft,aft,Open English WordNet 2025 synset
abaft,astern,Open English WordNet 2025 synset
abandon,desert,Open English WordNet 2025 synset
abandon,desolate,Open English WordNet 2025 synset
abandon,empty,Open English WordNet 2025 synset
abandon,forsake,Open English WordNet 2025 synset
abandon,give up,Open English WordNet 2025 synset
abandon,vacate,Open English WordNet 2025 synset
abandoned,derelict,Open English WordNet 2025 synset
abandoned,deserted,Open English WordNet 2025 synset
abandoned infant,foundling,Open English WordNet 2025 synset
abandonment,defection,Open English WordNet 2025 synset
abandonment,desertion,Open English WordNet 2025 synset
abandonment,forsaking,Open English WordNet 2025 synset
abase,chagrin,Open English WordNet 2025 synset
abase,humble,Open English WordNet 2025 synset
abase,humiliate,Open English WordNet 2025 synset
abase,mortify,Open English WordNet 2025 synset
abasement,abjection,Open English WordNet 2025 synset
abasement,degradation,Open English WordNet 2025 synset
abasement,humiliation,Open English WordNet 2025 synset
abash,embarrass,Open English WordNet 2025 synset
abashment,bashfulness,Open English WordNet 2025 synset
abatement,hiatus,Open English WordNet 2025 synset
abatement,reprieve,Open English WordNet 2025 synset
abatement,respite,Open English WordNet 2025 synset
abatement,suspension,Open English WordNet 2025 synset
abattoir,butchery,Open English WordNet 2025 synset
abattoir,shambles,Open English WordNet 2025 synset
abattoir,slaughterhouse,Open English WordNet 2025 synset
abaxial,dorsal,Open English WordNet 2025 synset
abbot,archimandrite,Open English WordNet 2025 synset
abbreviate,abridge,Open English WordNet 2025 synset
abbreviate,contract,Open English WordNet 2025 synset
abbreviate,cut,Open English WordNet 2025 synset
abbreviate,foreshorten,Open English WordNet 2025 synset
abbreviate,reduce,Open English WordNet 2025 synset
abbreviate,shorten,Open English WordNet 2025 synset
abbreviated,brief,Open English WordNet 2025 synset
abc's,abcs,Open English WordNet 2025 synset
abc's,alphabet,Open English WordNet 2025 synset
abcs,abc's,Open English WordNet 2025 synset
abcs,alphabet,Open English WordNet 2025 synset
abdicate,renounce,Open English WordNet 2025 synset
abdication,stepping down,Open English WordNet 2025 synset
abdomen,abdominal cavity,Open English WordNet 2025 synset
abdomen,belly,Open English WordNet 2025 synset
abdomen,stomach,Open English WordNet 2025 synset
abdomen,venter,Open English WordNet 2025 synset
abdominal cavity,abdomen,Open English WordNet 2025 synset
abdominous,paunchy,Open English WordNet 2025 synset
abdominous,potbellied,Open English WordNet 2025 synset
abduce,adduce,Open English WordNet 2025 synset
abduce,cite,Open English WordNet 2025 synset
abducent,abducting,Open English WordNet 2025 synset
abduct,kidnap,Open English WordNet 2025 synset
abduct,nobble,Open English WordNet 2025 synset
abduct,snatch,Open English WordNet 2025 synset
abducting,abducent,Open English WordNet 2025 synset
abductor,abductor muscle,Open English WordNet 2025 synset
abductor,kidnaper,Open English WordNet 2025 synset
abductor,kidnapper,Open English WordNet 2025 synset
abductor,snatcher,Open English WordNet 2025 synset
abductor muscle,abductor,Open English WordNet 2025 synset
abele,aspen poplar,Open English WordNet 2025 synset
abele,populus alba,Open English WordNet 2025 synset
abele,silver-leaved poplar,Open English WordNet 2025 synset
abele,white aspen,Open English WordNet 2025 synset
abele,white poplar,Open English WordNet 2025 synset
aberrance,aberrancy,Open English WordNet 2025 synset
aberrance,aberration,Open English WordNet 2025 synset
aberrance,deviance,Open English WordNet 2025 synset
aberrancy,aberrance,Open English WordNet 2025 synset
aberrancy,aberration,Open English WordNet 2025 synset
aberrancy,deviance,Open English WordNet 2025 synset
aberrant,deviant,Open English WordNet 2025 synset
aberrant,deviate,Open English WordNet 2025 synset
aberration,aberrance,Open English WordNet 2025 synset
aberration,aberrancy,Open English WordNet 2025 synset
aberration,deviance,Open English WordNet 2025 synset
aberration,distortion,Open English WordNet 2025 synset
aberration,optical aberration,Open English WordNet 2025 synset
abetment,abettal,Open English WordNet 2025 synset
abetment,instigation,Open English WordNet 2025 synset
abettal,abetment,Open English WordNet 2025 synset
abettal,instigation,Open English WordNet 2025 synset
abetter,abettor,Open English WordNet 2025 synset
abettor,abetter,Open English WordNet 2025 synset
abeyance,suspension,Open English WordNet 2025 synset
abhor,abominate,Open English WordNet 2025 synset
abhor,execrate,Open English WordNet 2025 synset
abhor,loathe,Open English WordNet 2025 synset
abhorrence,abomination,Open English WordNet 2025 synset
abhorrence,detestation,Open English WordNet 2025 synset
abhorrence,execration,Open English WordNet 2025 synset
abhorrence,loathing,Open English WordNet 2025 synset
abhorrence,odium,Open English WordNet 2025 synset
abhorrent,detestable,Open English WordNet 2025 synset
abhorrent,obscene,Open English WordNet 2025 synset
abhorrent,repugnant,Open English WordNet 2025 synset
abhorrent,repulsive,Open English WordNet 2025 synset
abidance,compliance,Open English WordNet 2025 synset
abidance,conformation,Open English WordNet 2025 synset
abidance,conformity,Open English WordNet 2025 synset
abidance,residence,Open English WordNet 2025 synset
abidance,residency,Open English WordNet 2025 synset
abide,bear,Open English WordNet 2025 synset
abide,brook,Open English WordNet 2025 synset
abide,digest,Open English WordNet 2025 synset
abide,endure,Open English WordNet 2025 synset
abide,put up,Open English WordNet 2025 synset
abide,stand,Open English WordNet 2025 synset
abide,stick out,Open English WordNet 2025 synset
abide,stomach,Open English WordNet 2025 synset
abide,suffer,Open English WordNet 2025 synset
abide,support,Open English WordNet 2025 synset
abide,tolerate,Open English WordNet 2025 synset
abiding,enduring,Open English WordNet 2025 synset
abiding,imperishable,Open English WordNet 2025 synset
ability,power,Open English WordNet 2025 synset
abject,low,Open English WordNet 2025 synset
abject,low-down,Open English WordNet 2025 synset
abject,miserable,Open English WordNet 2025 synset
abject,scummy,Open English WordNet 2025 synset
abject,scurvy,Open English WordNet 2025 synset
abjection,abasement,Open English WordNet 2025 synset
abjection,degradation,Open English WordNet 2025 synset
abjuration,recantation,Open English WordNet 2025 synset
abjuration,retraction,Open English WordNet 2025 synset
abjure,forswear,Open English WordNet 2025 synset
abjure,recant,Open English WordNet 2025 synset
abjure,resile,Open English WordNet 2025 synset
abjure,retract,Open English WordNet 2025 synset
ablactate,wean,Open English WordNet 2025 synset
ablactation,weaning,Open English WordNet 2025 synset
ablation,cutting out,Open English WordNet 2025 synset
ablation,excision,Open English WordNet 2025 synset
ablation,extirpation,Open English WordNet 2025 synset
ablative,ablative case,Open English WordNet 2025 synset
ablative case,ablative,Open English WordNet 2025 synset
ablaze,inflamed,Open English WordNet 2025 synset
ablaze,reddened,Open English WordNet 2025 synset
able,able-bodied,Open English WordNet 2025 synset
able,capable,Open English WordNet 2025 synset
able-bodied,able,Open English WordNet 2025 synset
ably,aptly,Open English WordNet 2025 synset
