question_uuid,question_id,subject_uuid,subject_id,equivalent_no,question_text,answer_template,option_a,option_b,option_c,option_d,option_count,is_active
546a8876-9043-5840-b5ef-5cabe20ef1a1,S01_Q001,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,1,I ___ a student.,I ___ a student.,is,are,am,,3,true
8c9a1937-cec1-50d2-abe8-a1126f15bb7b,S01_Q002,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,2,Anna ___ happy.,Anna ___ happy.,is,am,are,,3,true
455e3880-5a27-5c74-952f-2a2add270839,S01_Q003,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,3,Ali and Emma ___ at school.,Ali and Emma ___ at school.,are,is,am,,3,true
8011e016-5d72-5463-8c7e-efadfae1db04,S01_Q004,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,4,The book ___ new.,The book ___ new.,are,is,am,,3,true
e31fd7e9-b788-5837-9669-cf9fd9564a23,S01_Q005,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,5,We ___ cold today.,We ___ cold today.,are,is,am,,3,true
c7e9c303-fe98-5963-a65a-f67ca4107473,S01_Q006,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,6,I ___ a teacher.,I ___ a teacher.,are,am,is,,3,true
7023ee1f-a493-5d7d-bf6a-d238626c2470,S01_Q007,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,7,Sara ___ busy.,Sara ___ busy.,am,are,is,,3,true
41194df4-7e82-554e-ac98-9ea93237e49f,S01_Q008,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,8,Tom and Lucy ___ at the office.,Tom and Lucy ___ at the office.,are,am,is,,3,true
44dcb3ec-3e00-5073-96ce-cc57f86d4579,S01_Q009,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,9,The phone ___ old.,The phone ___ old.,am,are,is,,3,true
51147dd0-f38f-594c-b239-f2fffe36b204,S01_Q010,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,10,We ___ warm now.,We ___ warm now.,am,are,is,,3,true
ebd09a7f-05f2-5a22-91eb-c597107c3bc4,S01_Q011,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,11,I ___ a doctor.,I ___ a doctor.,am,are,is,,3,true
c3192a4d-178a-5e43-a4ad-d73cd9e13be0,S01_Q012,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,12,Mary ___ tired.,Mary ___ tired.,are,is,am,,3,true
ca3118b4-e3ab-52d0-a076-72a1a4fd5a92,S01_Q013,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,13,John and Kate ___ at the library.,John and Kate ___ at the library.,are,is,am,,3,true
fbb011a7-cc7d-5c93-87c0-1d3b9a7fbf2a,S01_Q014,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,14,The bag ___ clean.,The bag ___ clean.,am,is,are,,3,true
0fb50f81-2c0a-50f3-8d29-c95bbbca9685,S01_Q015,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,15,We ___ late this morning.,We ___ late this morning.,is,am,are,,3,true
3bd1b656-a0cc-55af-b143-a6e2089cd72e,S01_Q016,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,16,I ___ an engineer.,I ___ an engineer.,am,are,is,,3,true
d66de240-78b6-543d-96ea-67746225502d,S01_Q017,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,17,Emma ___ ready.,Emma ___ ready.,is,are,am,,3,true
a11eae17-5781-5d48-9bf6-1d5d2b26db19,S01_Q018,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,18,David and Sofia ___ at the park.,David and Sofia ___ at the park.,are,is,am,,3,true
372dc19b-29a5-5e90-8c6d-302e33d5bd1d,S01_Q019,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,19,The key ___ open.,The key ___ open.,are,am,is,,3,true
6c54cb96-fbbc-5f60-9a3e-8e36c6798b18,S01_Q020,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,20,We ___ early this afternoon.,We ___ early this afternoon.,am,is,are,,3,true
1bc61141-7222-5c04-a0ea-dcf0d9529c5a,S01_Q021,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,21,I ___ a designer.,I ___ a designer.,is,am,are,,3,true
70605879-b9fb-5635-879c-ad2dcbc841fb,S01_Q022,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,22,Lucy ___ hungry.,Lucy ___ hungry.,are,am,is,,3,true
d24e60a7-f9a7-57ce-ad5c-d11d208c2799,S01_Q023,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,23,Michael and Lina ___ at the station.,Michael and Lina ___ at the station.,are,is,am,,3,true
52437b75-2dfb-5ab4-96ed-8d75f8ae87d6,S01_Q024,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,24,The pen ___ closed.,The pen ___ closed.,are,am,is,,3,true
008db2f1-2704-5b06-b3f3-3797468049ff,S01_Q025,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,25,We ___ quiet this evening.,We ___ quiet this evening.,am,is,are,,3,true
201f919c-6724-5773-bc54-bde7eedc5074,S01_Q026,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,26,I ___ a driver.,I ___ a driver.,are,is,am,,3,true
ae55a033-96fc-55bb-9446-5cf62e15b3e8,S01_Q027,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,27,Kate ___ cold.,Kate ___ cold.,am,are,is,,3,true
4668fc9c-e62a-53d2-8553-70537f738c2b,S01_Q028,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,28,Peter and Mia ___ at the café.,Peter and Mia ___ at the café.,are,is,am,,3,true
4deaaa95-ef26-5f43-842b-fd5ee9564589,S01_Q029,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,29,The laptop ___ ready.,The laptop ___ ready.,is,am,are,,3,true
f8557b97-678f-5952-9781-42149f87cea8,S01_Q030,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,30,We ___ friendly at the moment.,We ___ friendly at the moment.,is,am,are,,3,true
f5d33606-fc7e-5c45-b2ab-a4bed32ae342,S01_Q031,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,31,I ___ a manager.,I ___ a manager.,is,am,are,,3,true
13831e82-cf91-5b19-818e-aefc827ed8e7,S01_Q032,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,32,Sofia ___ warm.,Sofia ___ warm.,is,are,am,,3,true
01c22f3c-ee30-5f68-a1ca-26afe7e68404,S01_Q033,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,33,Daniel and Nora ___ at the hospital.,Daniel and Nora ___ at the hospital.,am,are,is,,3,true
7585942e-5761-560c-88a3-d007c4c57c6d,S01_Q034,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,34,The ticket ___ heavy.,The ticket ___ heavy.,am,are,is,,3,true
a683645f-40fa-5794-8e72-2eb53d055224,S01_Q035,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,35,We ___ careful before class.,We ___ careful before class.,are,am,is,,3,true
7210752b-cf61-5ab7-bab5-7b94b6632d0f,S01_Q036,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,36,I ___ a chef.,I ___ a chef.,are,am,is,,3,true
17d37f52-b1ff-590d-b714-c5570753b89b,S01_Q037,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,37,Lina ___ late.,Lina ___ late.,are,am,is,,3,true
5e28bc11-f694-5fe6-ad1a-0a4c530bc89c,S01_Q038,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,38,Sam and Aziza ___ at the market.,Sam and Aziza ___ at the market.,am,is,are,,3,true
080d649c-c147-558b-9240-2a472f79e2c5,S01_Q039,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,39,The passport ___ light.,The passport ___ light.,am,is,are,,3,true
d113b185-a30b-5091-ab71-7c7e9e83d877,S01_Q040,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,40,We ___ young after work.,We ___ young after work.,is,are,am,,3,true
2dbb26d7-8c14-5cfe-9d7d-7925e57bfe8e,S01_Q041,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,41,I ___ a nurse.,I ___ a nurse.,are,am,is,,3,true
5f615612-791f-50d5-80a0-e57ad1a7c888,S01_Q042,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,42,Mia ___ early.,Mia ___ early.,am,are,is,,3,true
f76c48a9-0884-52a5-b70f-cdf1f0e9b705,S01_Q043,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,43,James and Dilnoza ___ at the gym.,James and Dilnoza ___ at the gym.,are,am,is,,3,true
9a8b4914-7e8d-5e26-b79b-73dbf64d4815,S01_Q044,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,44,The camera ___ red.,The camera ___ red.,are,am,is,,3,true
373cde30-bbb9-5f0a-9740-2eb458111d54,S01_Q045,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,45,We ___ old at school.,We ___ old at school.,am,are,is,,3,true
b66a3197-6f0e-5f46-bf46-3506eeb39b63,S01_Q046,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,46,I ___ a programmer.,I ___ a programmer.,am,are,is,,3,true
16a6f1e4-ba6e-59ee-9691-2a5b3c08da92,S01_Q047,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,47,Nora ___ quiet.,Nora ___ quiet.,are,am,is,,3,true
8e114091-be42-591e-9b34-9cf0766ad286,S01_Q048,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,48,Robert and Laylo ___ at the museum.,Robert and Laylo ___ at the museum.,are,is,am,,3,true
b6aa76f6-e208-5b33-9747-ee85fc58d3c4,S01_Q049,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,49,The bottle ___ blue.,The bottle ___ blue.,is,am,are,,3,true
ef3539f7-c4c5-55c8-9ea6-5770440780cc,S01_Q050,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,50,We ___ clean at home.,We ___ clean at home.,are,is,am,,3,true
8e403079-eba3-5bde-b9b9-585d9d5ccb3b,S01_Q051,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,51,I ___ a photographer.,I ___ a photographer.,is,are,am,,3,true
716f180e-e470-581e-903a-bd8f9e9b4454,S01_Q052,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,52,Aziza ___ friendly.,Aziza ___ friendly.,am,are,is,,3,true
2b168224-0dc4-5574-9fcd-a0f3fde799c8,S01_Q053,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,53,Adam and Zara ___ at the university.,Adam and Zara ___ at the university.,are,is,am,,3,true
fad32b86-7ede-58a9-a5e8-19c43e0cbdc0,S01_Q054,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,54,The umbrella ___ expensive.,The umbrella ___ expensive.,am,are,is,,3,true
c1a3b89a-af70-5a1d-868c-b7d66c3cc4d5,S01_Q055,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,55,We ___ open in the office.,We ___ open in the office.,am,is,are,,3,true
723d5c7c-6144-508d-b14e-014f5de83064,S01_Q056,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,56,I ___ an accountant.,I ___ an accountant.,is,are,am,,3,true
96a49de1-22ce-5f5a-9d4b-0029305361b7,S01_Q057,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,57,Dilnoza ___ careful.,Dilnoza ___ careful.,am,is,are,,3,true
fffaf199-0aba-58df-a412-a0ca9ab597f9,S01_Q058,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,58,Ben and Emily ___ at the bank.,Ben and Emily ___ at the bank.,is,are,am,,3,true
bb52bd56-6ff1-577f-8216-4a0741a2f423,S01_Q059,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,59,The jacket ___ cheap.,The jacket ___ cheap.,am,are,is,,3,true
69dbccf1-3897-5961-aff6-332f698cd125,S01_Q060,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,60,We ___ closed on the trip.,We ___ closed on the trip.,am,is,are,,3,true
2accb9ed-f5f6-504d-b685-3c154a34bab1,S01_Q061,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,61,I ___ a tourist.,I ___ a tourist.,am,is,are,,3,true
bf23c9ea-7007-5b62-9fc6-efa0a0d8c1c1,S01_Q062,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,62,Laylo ___ young.,Laylo ___ young.,am,are,is,,3,true
10f67de2-359c-59a2-ba4e-b0761c7e7529,S01_Q063,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,63,Jack and Jane ___ at the airport.,Jack and Jane ___ at the airport.,am,is,are,,3,true
ed7eeadf-f8c0-5fb5-b4d6-cffdb91dbacc,S01_Q064,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,64,The notebook ___ small.,The notebook ___ small.,am,are,is,,3,true
07b5e22d-721e-5f69-af15-6008d2bded48,S01_Q065,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,65,We ___ easy during the lesson.,We ___ easy during the lesson.,am,are,is,,3,true
f34af28c-8a1f-5619-9a9d-ef4e09d82e85,S01_Q066,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,66,I ___ a customer.,I ___ a customer.,am,are,is,,3,true
003224ed-ded7-54b4-b6bf-4574091c46e1,S01_Q067,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,67,Zara ___ old.,Zara ___ old.,are,am,is,,3,true
ca5cef0a-8cec-522a-8971-c7097a15a90f,S01_Q068,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,68,Leo and Laura ___ at the hotel.,Leo and Laura ___ at the hotel.,are,is,am,,3,true
752a8e43-8a17-5863-954c-d7b16f4a12a0,S01_Q069,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,69,The wallet ___ large.,The wallet ___ large.,are,is,am,,3,true
3bc5632a-3e1e-5b44-b177-717d2751b37d,S01_Q070,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,70,We ___ difficult before dinner.,We ___ difficult before dinner.,is,are,am,,3,true
522797fe-3570-57bf-84ed-2308122b921d,S01_Q071,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,71,I ___ a waiter.,I ___ a waiter.,are,is,am,,3,true
4cc67da6-1e6e-525b-9019-01e23b27288e,S01_Q072,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,72,Emily ___ clean.,Emily ___ clean.,is,are,am,,3,true
2cc276b8-0127-5a81-a33b-c3d1001d2d9a,S01_Q073,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,73,Omar and Susan ___ at the shop.,Omar and Susan ___ at the shop.,is,are,am,,3,true
a8902282-cc5e-56c3-8d4e-8088ef8fa9d7,S01_Q074,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,74,The chair ___ useful.,The chair ___ useful.,is,am,are,,3,true
aabc6ee2-3837-5ecc-9685-740acbfc0bbe,S01_Q075,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,75,We ___ interesting after lunch.,We ___ interesting after lunch.,is,are,am,,3,true
fe3ffa85-0d81-5eba-9530-907463d5a49d,S01_Q076,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,76,I ___ a pilot.,I ___ a pilot.,are,am,is,,3,true
80ec1c5e-327d-55e0-90ce-02c0d1c73a2f,S01_Q077,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,77,Jane ___ open.,Jane ___ open.,am,is,are,,3,true
0c4a7f6b-8377-5e91-8740-07de85ed356d,S01_Q078,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,78,Tim and Helen ___ at the restaurant.,Tim and Helen ___ at the restaurant.,am,is,are,,3,true
880445e7-0e00-5a45-b652-e022de6753ca,S01_Q079,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,79,The table ___ broken.,The table ___ broken.,is,am,are,,3,true
c82708d0-d3e8-5296-91c4-e16a905d67fe,S01_Q080,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,80,We ___ happy this week.,We ___ happy this week.,are,is,am,,3,true
f5126059-d4f0-593c-9d70-aadaabad5ae6,S01_Q081,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,81,I ___ a farmer.,I ___ a farmer.,am,are,is,,3,true
776c220c-55b0-5ea0-ba4a-ddb4709cad09,S01_Q082,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,82,Laura ___ closed.,Laura ___ closed.,am,are,is,,3,true
cc542a50-42b7-5136-bd20-753fcaed98b5,S01_Q083,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,83,Mark and Grace ___ at the cinema.,Mark and Grace ___ at the cinema.,is,am,are,,3,true
e0b28e69-16c1-5429-87e4-13f6ad6f8a0b,S01_Q084,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,84,The box ___ here.,The box ___ here.,am,is,are,,3,true
991978db-181f-56bc-aac2-3374862910a8,S01_Q085,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,85,We ___ busy on holiday.,We ___ busy on holiday.,are,am,is,,3,true
bdcbb9f2-0525-540d-9103-37076ec2513c,S01_Q086,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,86,I ___ an artist.,I ___ an artist.,am,is,are,,3,true
658fc1cf-0e78-55d4-a964-bc239ae948c3,S01_Q087,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,87,Susan ___ easy.,Susan ___ easy.,am,are,is,,3,true
69338b9d-c09a-524d-ba0d-212252d39919,S01_Q088,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,88,Paul and Anna ___ at the garden.,Paul and Anna ___ at the garden.,are,am,is,,3,true
a2dab1bc-5823-574f-8773-9e75191efa3a,S01_Q089,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,89,The letter ___ there.,The letter ___ there.,is,are,am,,3,true
1ab3aade-32e2-5b6a-a1bc-e8cab67a9a6e,S01_Q090,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,90,We ___ tired for the meeting.,We ___ tired for the meeting.,is,are,am,,3,true
9c313f59-7e92-5803-aa57-13513db2cff4,S01_Q091,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,91,I ___ a mechanic.,I ___ a mechanic.,are,am,is,,3,true
788aa871-2f53-56ac-98c1-ace876428ea2,S01_Q092,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,92,Helen ___ difficult.,Helen ___ difficult.,is,am,are,,3,true
c62a7acc-4de1-5743-9a39-4c07259d27ad,S01_Q093,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,93,George and Sara ___ at the classroom.,George and Sara ___ at the classroom.,are,is,am,,3,true
954b2530-5e0b-5089-9435-8cc3f5287b01,S01_Q094,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,94,The map ___ mine.,The map ___ mine.,is,am,are,,3,true
97d5bfa1-2e61-5ff9-8f1f-23bdc76c8869,S01_Q095,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,95,We ___ ready for the exam.,We ___ ready for the exam.,am,is,are,,3,true
e0be81c1-b485-5775-af73-ea6e165b74ba,S01_Q096,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,96,I ___ a researcher.,I ___ a researcher.,am,is,are,,3,true
839a79a9-6ab2-5214-a6c7-70fac1c9bc5b,S01_Q097,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,97,Grace ___ interesting.,Grace ___ interesting.,am,is,are,,3,true
9abd38af-a7c8-5c16-8e8f-0b0106677230,S01_Q098,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,98,Ryan and Mary ___ at the kitchen.,Ryan and Mary ___ at the kitchen.,is,am,are,,3,true
37682d0f-37f4-5375-8b5a-1e6c7ec63775,S01_Q099,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,99,The watch ___ yours.,The watch ___ yours.,are,is,am,,3,true
e19c171e-3386-5e62-99ed-6b795fe36df5,S01_Q100,ac4e17de-6058-5a75-8043-59fe7629f8fb,1,100,We ___ hungry for the game.,We ___ hungry for the game.,am,is,are,,3,true
c4e73be8-ef31-5537-a69a-c0cb1200639b,S02_Q001,756976a5-169c-5ad4-b7f9-3277107b702e,2,1,Anna is my friend. ___ is very kind.,___ is very kind.,They,We,He,She,4,true
94f49633-4841-57fe-a31e-50e7d7265e71,S02_Q002,756976a5-169c-5ad4-b7f9-3277107b702e,2,2,Ali is my brother. ___ is a student.,___ is a student.,It,She,They,He,4,true
